brand,model,form_factor,wrap_color,ring_color,cell_image_url,cell_data_url,capacity_mah,nominal_voltaje,charging_voltaje,charging_std_ma,charging_max_ma,discharging_cutoff_voltaje,discharging_std_ma,discharging_max_ma,data_ref_url
Samsung,ICR18650-22F,18650,Green,White,https://secondlifestorage.com/custom/cell_images/OYZsjpq.jpg,https://secondlifestorage.com/index.php?threads/celldata.1740/,2200,3.60,4.20,1100,2200,2.75,440,4400,http://www.tme.eu/de/Document/71b610093f14a53a8417944008628183/ICR18650-22F.pdf
Samsung,ICR18650-22FM,18650,Green,White,https://secondlifestorage.com/custom/cell_images/icr1865022fm.jpg,https://secondlifestorage.com/index.php?threads/celldata.4129/,2200,3.60,4.20,1100,2200,2.72,440,4400,None
Samsung,ICR18650-22FU,18650,Green,White,https://secondlifestorage.com/custom/cell_images/uLi8b81.jpg,https://secondlifestorage.com/index.php?threads/celldata.1741/,2200,3.60,4.20,1100,2200,2.75,2200,4400,None
Samsung,ICR18650-22H,18650,Teal,White,https://secondlifestorage.com/custom/cell_images/icr18650h.jpg,https://secondlifestorage.com/index.php?threads/celldata.1881/,2200,3.70,4.20,440,None,2.75,440,None,None
Samsung,ICR18650-22P,18650,Purple (Light),White,https://secondlifestorage.com/custom/cell_images/AnDA3sN.jpg,https://secondlifestorage.com/index.php?threads/celldata.1773/,2150,3.62,4.20,1075,2150,2.75,430,10000,http://www.tme.eu/de/Document/cf2b91a94627173083963b831db6ea62/ACCU-18650-2.2P-HV.pdf
Samsung,ICR18650-22P M,18650,Purple (Light),White,https://secondlifestorage.com/custom/cell_images/icr1865022pm.jpg,https://secondlifestorage.com/index.php?threads/celldata.8117/,2150,3.62,4.20,1074,2150,2.75,430,10000,http://www.uksegboards.co.uk/wp-content/uploads/2016/01/battery-specification.pdf
Samsung,ICR18650-24A,18650,Blue (Dark),Blue,https://secondlifestorage.com/custom/cell_images/icr1865024a.jpg,https://secondlifestorage.com/index.php?threads/celldata.2288/,2400,3.70,4.20,1200,2400,2.75,480,4800,http://www.meircell.co.il/files/Samsung%20ICR18650-24A.pdf
Samsung,ICR18650-24B,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/icr1865024b.jpg,https://secondlifestorage.com/index.php?threads/celldata.8389/,2400,3.70,4.20,1200,2400,2.75,480,4800,http://h22235.www2.hp.com/hpinfo/globalcitizenship/environment/productdata/pdf/ba_samsungli-ion2400_us_eng_v1.pdf
Samsung,ICR18650-24E,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/KD2mPcf.jpg,https://secondlifestorage.com/index.php?threads/celldata.1767/,2400,3.70,4.20,1200,2400,2.75,480,4800,None
Samsung,ICR18650-24F,18650,Green,White,https://secondlifestorage.com/custom/cell_images/icr1865024f.jpg,https://secondlifestorage.com/index.php?threads/celldata.5779/,2400,3.70,4.20,1200,2400,2.75,480,4800,None
Samsung,ICR18650-26A,18650,Pink,White,https://secondlifestorage.com/custom/cell_images/icr1865026a.jpg,https://secondlifestorage.com/index.php?threads/celldata.1796/,2600,3.70,4.20,1300,2600,2.75,520,5200,http://www.hobishop.lt/uploads/4/5/7/0/4570361/samsung-sdi-icr18650-26a.pdf
Samsung,ICR18650-26C,18650,Pink,White,https://secondlifestorage.com/custom/cell_images/XQXuXlo.jpg,https://secondlifestorage.com/index.php?threads/celldata.1782/,2600,3.70,4.20,1300,2600,2.75,520,5200,None
Samsung,ICR18650-26D,18650,Pink,White,https://secondlifestorage.com/custom/cell_images/icr1865026d.jpg,https://secondlifestorage.com/index.php?threads/celldata.1797/,2600,3.70,4.20,1300,None,2.75,520,None,None
Samsung,ICR18650-26F,18650,Pink,White,https://secondlifestorage.com/custom/cell_images/mpNXTHL.jpg,https://secondlifestorage.com/index.php?threads/celldata.1783/,2600,3.70,4.20,1300,2600,2.75,520,5200,http://gamma.spb.ru/media/pdf/liion-lipolymer-lifepo4-akkumulyatory/ICR18650-26F.pdf
