brand,model,form_factor,wrap_color,ring_color,cell_image_url,cell_data_url,capacity_mah,nominal_voltaje,charging_voltaje,charging_std_ma,charging_max_ma,discharging_cutoff_voltaje,discharging_std_ma,discharging_max_ma,data_ref_url
Sony,US18650GR (G5),18650,Green,Black,https://secondlifestorage.com/custom/cell_images/us18650grg51.jpg,https://secondlifestorage.com/index.php?threads/celldata.2336/,2200,3.70,4.20,1300,None,2.75,440,None,None
Sony,US18650GR (G6),18650,Green,Black,https://secondlifestorage.com/custom/cell_images/us18650grg6.jpg,https://secondlifestorage.com/index.php?threads/celldata.1875/,2100,3.70,4.20,1000,None,3.00,420,None,http://www.energy4people.ru/upload/instr_file1549.pdf
Sony,US18650GR (G7),18650,Green,Black,https://secondlifestorage.com/custom/cell_images/us18650grg7.jpg,https://secondlifestorage.com/index.php?threads/celldata.2320/,2400,3.70,4.20,1000,None,3.00,480,None,None
Sony,US18650GR (G8),18650,Green,Black,https://secondlifestorage.com/custom/cell_images/us18650grg8.jpg,https://secondlifestorage.com/index.php?threads/celldata.2321/,2600,3.70,4.20,1000,None,2.75,520,None,http://www.produktinfo.conrad.com/datenblaetter/1200000-1299999/001214012-gs-01-en-UL_SONY_LITHIUM_KNOPFZELLE_CR_1220__5ER_.pdf
Sony,US18650GS,18650,Green,Black,https://secondlifestorage.com/custom/cell_images/ksgg3ee.jpg,https://secondlifestorage.com/index.php?threads/celldata.1690/,None,None,None,None,None,None,None,None,None
Sony,US18650NC1,18650,Green,Black,https://secondlifestorage.com/custom/cell_images/XIwuIsR.jpg,https://secondlifestorage.com/index.php?threads/celldata.1699/,2750,3.60,4.20,1925,None,2.50,2750,None,http://www.altra.net.pl/pdf/Sony%20US18650NC1.pdf
Sony,US18650S,18650,Blue,Beige,https://secondlifestorage.com/custom/cell_images/oES9HL8.jpg,https://secondlifestorage.com/index.php?threads/celldata.1683/,None,None,None,None,None,None,None,None,https://www.megacellmonitor.com/pdf/vendor_specs/SPEC_SONY_US18650S.pdf
Sony,US18650V,18650,Green,Black,https://secondlifestorage.com/custom/cell_images/uwE3mJ0.jpg,https://secondlifestorage.com/index.php?threads/celldata.1691/,1600,3.70,4.20,320,None,2.50,320,None,None
Sony,US18650V2,18650,Green,Black,https://secondlifestorage.com/custom/cell_images/w3gsgoY.jpg,https://secondlifestorage.com/index.php?threads/celldata.1693/,None,None,None,None,None,None,None,None,None
Sony,US18650V3,18650,Green,Black,https://secondlifestorage.com/custom/cell_images/HriL00P.jpg,https://secondlifestorage.com/index.php?threads/celldata.1694/,2150,3.70,4.20,2150,2150,2.50,430,10000,http://www.batteryspace.com/prod-specs/9091_specification.pdf
Sony,US18650VT,18650,Green,Black,https://secondlifestorage.com/custom/cell_images/CRfRbol.jpg,https://secondlifestorage.com/index.php?threads/celldata.1692/,1300,3.60,4.20,1300,None,2.75,260,None,None
Sony,US18650VT3,18650,Green,Black,https://secondlifestorage.com/custom/cell_images/IxFRE7p.jpg,https://secondlifestorage.com/index.php?threads/celldata.1695/,1500,3.70,4.20,1500,None,2.50,300,None,http://www.avacom.cz/Datasheety/Sony/US18650VTC3.pdf
Sony,US18650VTC3,18650,Green,Black,https://secondlifestorage.com/custom/cell_images/zKQnDDW.jpg,https://secondlifestorage.com/index.php?threads/celldata.1696/,1500,3.70,4.20,1500,None,2.50,300,None,http://keeppower.com.ua/download/file01_US18650VTC3.pdf
Sony,US18650VTC4,18650,Green,Black,https://secondlifestorage.com/custom/cell_images/KPP9NJq.jpg,https://secondlifestorage.com/index.php?threads/celldata.1697/,2000,3.70,4.20,2000,None,2.50,420,None,https://www.powerstream.com/p/us18650vtc4.pdf
Sony,US18650VTC6,18650,Green,Black,https://secondlifestorage.com/custom/cell_images/w64mXjO.jpg,https://secondlifestorage.com/index.php?threads/celldata.1698/,3000,3.60,4.20,3000,None,2.50,3000,10000,http://www.accushop.at/images/product_images/original_images/apdf/AccuShop_US18650VTC6.pdf
Tenergy,LR1865S1,18650,Grey,White,https://secondlifestorage.com/custom/cell_images/tenergyicr186502200.jpg,https://secondlifestorage.com/index.php?threads/celldata.6336/,2200,3.60,4.20,1100,2200,3.00,None,4400,None
Toshiba,LGR18650P,18650,Purple,White,https://secondlifestorage.com/custom/cell_images/toshibalgr18650p.jpg,https://secondlifestorage.com/index.php?threads/celldata.6464/,1650,3.70,None,None,None,None,None,None,None
Toshiba,LGR18650S,18650,Purple,White,https://secondlifestorage.com/custom/cell_images/lgr18650s.jpg,https://secondlifestorage.com/index.php?threads/celldata.3268/,1350,None,None,None,None,None,None,None,http://pdf.datasheet.live/12150411/toshiba.co.jp/LGR17500.pdf
Uni-Sun,E18650,18650,Orange,White,https://secondlifestorage.com/custom/cell_images/unisune18650.jpg,https://secondlifestorage.com/index.php?threads/celldata.5777/,2400,None,None,None,None,None,None,None,None
Unknown,ASO/SZN,18650,Purple,White,https://secondlifestorage.com/custom/cell_images/5MjnWEc.jpg,https://secondlifestorage.com/index.php?threads/celldata.1778/,None,None,None,None,None,None,None,None,None
Unknown,C18650P,18650,Blue (Transparent),Brown (Light),https://secondlifestorage.com/custom/cell_images/Ey1Q4QK.jpg,https://secondlifestorage.com/index.php?threads/celldata.1707/,1300,3.60,None,None,None,None,None,None,None
Unknown,CRN18650,18650,Green (Dark),Black,https://secondlifestorage.com/custom/cell_images/cnr18650.jpg,https://secondlifestorage.com/index.php?threads/celldata.4488/,2200,3.70,4.20,None,2000,3.00,None,None,None
Unknown,D18650,18650,Green,White,https://secondlifestorage.com/custom/cell_images/uncell002.jpg,https://secondlifestorage.com/index.php?threads/celldata.2586/,None,None,None,None,None,None,None,None,None
Unknown,FP-ICR18650,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/DBBVbBK.jpg,https://secondlifestorage.com/index.php?threads/celldata.1761/,None,None,None,None,None,None,None,None,None
Unknown,GOB18650S,18650,Turquoise,Grey,https://secondlifestorage.com/custom/cell_images/uncell003.jpg,https://secondlifestorage.com/index.php?threads/celldata.2692/,None,None,None,None,None,None,None,None,None
Unknown,ICR18650-23A-HENV,18650,Turquoise,Translucent,https://secondlifestorage.com/custom/cell_images/7Vr1kpC.jpg,https://secondlifestorage.com/index.php?threads/celldata.1719/,None,None,None,None,None,None,None,None,None
Valence,IFR-18650EC,18650,Orance,Grey,https://secondlifestorage.com/custom/cell_images/valanceifr18650ec.jpg,https://secondlifestorage.com/index.php?threads/celldata.6101/,1300,3.20,3.65,650,1300,2.00,260,2600,None
YikLik (YLE),ICR18650A220,18650,Orange,Black,https://secondlifestorage.com/custom/cell_images/yleicr18650a220.jpg,https://secondlifestorage.com/index.php?threads/celldata.2440/,2200,3.70,4.20,None,None,None,None,None,None
YikLik (YLE),ICR18650A240,18650,Orange,White,https://secondlifestorage.com/custom/cell_images/yleicr18650a240.jpg,https://secondlifestorage.com/index.php?threads/celldata.8333/,2400,3.70,4.20,480,None,3.00,None,None,None
YikLik (YLE),INR18650A220,18650,Red,Black,https://secondlifestorage.com/custom/cell_images/h1Q1gXo.jpg,https://secondlifestorage.com/index.php?threads/celldata.1684/,2200,3.60,4.20,4400,2200,3.00,440,2200,http://www.mountainprophet.de/wp-content/uploads/2012/05/YLE_INR18650A220.pdf
YikLik (YLE),INR18650A245,18650,Red,White,https://secondlifestorage.com/custom/cell_images/yleinr18650a245.jpg,https://secondlifestorage.com/index.php?threads/celldata.8335/,2450,3.60,4.20,490,1700,3.00,0,4900,http://oem.portapower.com/html/pdf/Battery-Cells.pdf
